id,имя,раса,размер,уровень,диапазон уровней,мощь,здоровье,тип удара,урон,второй удар,сила удара игровая,сила,выносливость,ловкость,точность,ум,воля,ведёт,пробитие,что открывает,модель оружия
1939,RhinoSpirit,none,Large,18,,467,1800,колющий,"38-52,",,500,40,34,10,10,5,5,сила,152,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т2; латы Т2,есть
1863,CorruptedHound_Summon,demon,Large,20,,317,850,режущий,"29-46,",,60,41,35,10,10,5,5,сила,156,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т2; латы Т2,есть
1179,Giant Viper (GiantViper),animal,Large,20,,170,663,яд,"32-46,",,30,41,35,10,10,5,5,сила,156,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т2; латы Т2,есть
1050,Vampire,undead,Large,21,,334,1020,режущий,"36-53,","колющий 40-61,",200,42,35,10,11,5,5,сила,160,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т2; латы Т2,нет
1182,Hippogriff,mythological,Large,22,,1317,1836,режущий,"30-48,","режущий 30-48,",55,42,36,10,11,5,5,сила,160,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т2; латы Т2,есть
1771,Banshee,undead,Large,23,,335,718,режущий,"28-43,",,70,43,36,10,11,5,5,сила,163,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т2; латы Т2,нет
1241,Weretoad,lizard,Large,25,,582,820,дробящий,"29-43,",,450,44,37,10,11,6,6,сила,167,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т2; латы Т2,есть
1174,Hippopotamus,animal,Large,27,,400,1248,колющий,27-33,"дробящий 31-43,",450,45,38,11,11,6,6,сила,171,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,есть
1326,Giant Spider,insect,Large,28,,385,1248,режущий,"46-63,",,0,45,39,11,11,6,6,сила,171,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,нет
1465,Iron Guard (IronGuard3),mythological,Large,28,,1230,2169,режущий,"46-61,",,400,45,39,11,11,6,6,сила,171,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,нет
1238,Werecroc (WerecrocMace),lizard,Large,28,,317,826,дробящий,"43-58,",,200,45,39,11,11,6,6,сила,171,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,есть
1239,Werecroc (WerecrocSword),lizard,Large,28,,317,826,режущий,"43-58,",,200,45,39,11,11,6,6,сила,171,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,есть
1464,Iron Guard (IronGuard2),mythological,Large,29,,1248,2184,режущий,"46-61,",,400,46,39,11,11,6,6,сила,175,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,нет
1164,Rhino,animal,Large,29,,467,1887,колющий,"39-53,",,500,46,39,11,11,6,6,сила,175,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,есть
1178,Giant Scorpion (Giant scorpion),insect,Large,30,,362,797,режущий,"25-37,","режущий 25-37,",150,46,40,11,12,6,6,сила,175,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,есть
1180,Griffon,mythological,Large,30,,1551,2496,режущий,"43-78,","режущий 43-78,",45,46,40,11,12,6,6,сила,175,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,есть
1240,Werespider,insect,Large,30,,427,2080,режущий,"43-57,",,75,46,40,11,12,6,6,сила,175,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,есть
1177,Giant Beetle (Giant beetle),insect,Large,31,,622,882,колющий,"32-49,",,270,47,40,11,12,6,6,сила,179,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,есть
1117,Manticore,mythological,Large,31,,2493,5304,режущий,"68-84,","режущий 36-47,",1000,47,40,11,12,6,6,сила,179,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,есть
1187,Werewolf,mythological,Large,31,,1458,2184,режущий,14-27,"колющий 14-27,",250,47,40,11,12,6,6,сила,179,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,есть
1585,CobraSnake,animal,Large,32,,322,846,колющий,"38-53,",,100,48,40,11,12,6,6,сила,182,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,нет
1245,Weresquid,mythological,Large,34,,2493,3807,холод,"41-51,",,60,49,41,11,12,6,6,сила,186,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,есть
1812,GiantMummy,undead,Large,35,,245,793,режущий,33-43,"дробящий 33-43,",250,49,42,12,12,6,6,сила,186,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,нет
1185,Minotaur,mythological,Large,35,,3132,4443,дробящий,"37-51,",,1500,49,42,12,12,6,6,сила,186,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,нет
1142,Lizardman_A,lizard,Large,36,,426,846,режущий,"31-46,",,500,50,42,12,12,6,6,сила,190,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,есть
1244,Weredragon,mythological,Large,36,,1368,3807,режущий,"43-65,",,300,50,42,12,12,6,6,сила,190,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,есть
1864,CorruptedBear,animal,Large,38,,196,1725,режущий,"58-75,","режущий 58-75,",150,51,43,12,13,6,6,сила,194,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,есть
1224,Gargoyle,undead,Large,38,,796,1281,режущий,"48-65,",,1000,51,43,12,13,6,6,сила,194,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,есть
1463,Iron Guard (IronGuard),mythological,Large,38,,2145,3204,режущий,"56-79,",,400,51,43,12,13,6,6,сила,194,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,нет
1466,Iron Guard (IronGuard4),mythological,Large,38,,1230,3204,режущий,"56-79,",,400,51,43,12,13,6,6,сила,194,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,нет
1143,Lizardman_A (Lizardman_B),lizard,Large,38,,588,854,дробящий,"40-58,",,600,51,43,12,13,6,6,сила,194,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,есть
1582,Scarab,insect,Large,39,,563,854,дробящий,31-53,,200,51,44,12,13,6,6,сила,194,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т3; латы Т2,нет
1176,Chimera,mythological,Large,40,,2598,6099,режущий,"45-60,","режущий 45-60,",1000,52,44,12,13,6,6,сила,198,ткань Т5; кожа Т5; кольчуга Т4; чешуя Т3; полулаты Т3; латы Т2,есть
1228,Gorgon,mythological,Large,40,,3114,7116,режущий,"68-90,",,150,52,44,12,13,6,6,сила,198,ткань Т5; кожа Т5; кольчуга Т4; чешуя Т3; полулаты Т3; латы Т2,нет
1955,IgnisChimera,mythological,Large,43,,2598,7896,режущий,26-32,"огонь 23-30,",1000,54,45,12,13,7,7,сила,205,ткань Т5; кожа Т5; кольчуга Т4; чешуя Т3; полулаты Т3; латы Т2,есть
1243,Reaper,undead,Large,44,,886,2008,режущий,"40-69,",,500,54,46,12,13,7,7,сила,205,ткань Т5; кожа Т5; кольчуга Т4; чешуя Т3; полулаты Т3; латы Т2,нет
1843,Ariandor,undead,Large,45,,886,2993,режущий,"50-69,",,300,55,46,12,13,7,7,сила,209,ткань Т5; кожа Т5; кольчуга Т4; чешуя Т3; полулаты Т3; латы Т2,есть
1950,Zayd_Monster,mythological,Large,50,,3132,10041,дробящий,"53-74,",,1500,58,48,13,14,7,7,сила,220,ткань Т5; кожа Т5; кольчуга Т4; чешуя Т3; полулаты Т3; латы Т3,есть
1811,TheKingOfRot,undead,Large,55,,175,1160,дробящий,"26-36,","дробящий 26-36,",25,60,51,14,15,7,7,сила,228,ткань Т5; кожа Т5; кольчуга Т4; чешуя Т3; полулаты Т3; латы Т3,есть
1857,Hesperia_Gorgon,mythological,Large,58,,801,4500,дробящий,"6-10,","дробящий 6-10,",25,62,52,14,15,7,7,сила,236,ткань Т5; кожа Т5; кольчуга Т4; чешуя Т3; полулаты Т3; латы Т3,нет
1030,Arabian Horse (ArabianHorse),animal,Medium,1,,58,160,дробящий,"2-6,","дробящий 2-6,",25,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1942,CargoHorse (CargoHorse_Accessories),animal,Medium,1,,58,200,дробящий,"2-6,","дробящий 2-6,",25,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1943,CargoHorse (CargoHorse_Alchemy),animal,Medium,1,,58,200,дробящий,"2-6,","дробящий 2-6,",25,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1497,CargoHorse (CargoHorse_Armour),animal,Medium,1,,58,200,дробящий,"2-6,","дробящий 2-6,",25,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1509,CargoHorse (CargoHorse_Foods),animal,Medium,1,,58,200,дробящий,"2-6,","дробящий 2-6,",25,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1512,CargoHorse (CargoHorse_Material),animal,Medium,1,,58,200,дробящий,"2-6,","дробящий 2-6,",25,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1755,CargoHorse (CargoHorse_Travel),animal,Medium,1,,58,200,дробящий,"2-6,","дробящий 2-6,",25,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1944,CargoHorse (CargoHorse_Weapon),animal,Medium,1,,58,200,дробящий,"2-6,","дробящий 2-6,",25,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1869,Cart Horse (CartHorse_Caravan),animal,Medium,1,,47,150,дробящий,"2-6,","дробящий 2-6,",25,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1160,Cart Horse (HorseCart),animal,Medium,1,,47,150,дробящий,"2-6,","дробящий 2-6,",25,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1784,Cart Horse (HorseCart_BTA),animal,Medium,1,,47,150,дробящий,"2-6,","дробящий 2-6,",25,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1044,Deer,animal,Medium,1,,45,150,,,,,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1429,Goat,animal,Medium,1,,46,120,дробящий,"2-4,","дробящий 2-4,",25,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1027,Horse,animal,Medium,1,,58,200,дробящий,"2-6,","дробящий 2-6,",25,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1008,Horse (horse_02),animal,Medium,1,,58,200,дробящий,"2-6,","дробящий 2-6,",25,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1011,Pig,animal,Medium,1,,47,200,дробящий,"5-10,",,250,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1015,Pony,animal,Medium,1,,47,150,дробящий,"2-6,","дробящий 2-6,",25,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1882,Practice Dummy (PracticeDummy),none,Medium,1,,1043,200,,,,,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1913,Practice Dummy (PracticeDummy_2),none,Medium,1,,1043,200,,,,,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1914,Practice Dummy (PracticeDummy_3),none,Medium,1,,1043,200,,,,,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1022,Practice Dummy (TestDummy),none,Medium,1,,1043,200,,,,,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1120,Stag Spirit,none,Medium,1,,95,160,холод,"12-21,",,150,8,10,18,10,3,3,ловкость,58,ткань Т5; кожа Т4,нет
1496,Dog (Dog_AKita),animal,Medium,2,,33,100,колющий,"8-16,",,30,8,10,19,10,3,3,ловкость,61,ткань Т5; кожа Т4; кольчуга Т2,нет
1539,Dog (Dog_JRTerrier),animal,Medium,2,,33,80,колющий,"6-12,",,30,8,10,19,10,3,3,ловкость,61,ткань Т5; кожа Т4; кольчуга Т2,нет
1532,Dog (Dog_BorderCollie),animal,Medium,3,,33,100,колющий,"8-16,",,30,8,11,19,11,3,3,ловкость,61,ткань Т5; кожа Т4; кольчуга Т2,нет
1536,Dog (Dog_Doberman),animal,Medium,3,,33,100,колющий,"10-18,",,30,8,11,19,11,3,3,ловкость,61,ткань Т5; кожа Т4; кольчуга Т2,нет
1121,Wolf Spirit,none,Medium,3,,117,140,холод,"8-16,",,30,8,11,19,11,3,3,ловкость,61,ткань Т5; кожа Т4; кольчуга Т2,нет
1119,Boar Spirit,none,Medium,4,,118,150,холод,"8-17,",,100,8,11,20,11,3,3,ловкость,64,ткань Т5; кожа Т5; кольчуга Т2,нет
1533,Dog (Dog_BullTerrier),animal,Medium,4,,33,120,колющий,"10-20,",,30,8,11,20,11,3,3,ловкость,64,ткань Т5; кожа Т5; кольчуга Т2,нет
1535,Dog (Dog_Dalmatian),animal,Medium,4,,33,120,колющий,"8-16,",,30,8,11,20,11,3,3,ловкость,64,ткань Т5; кожа Т5; кольчуга Т2,нет
1537,Dog (Dog_GoldenRetriever),animal,Medium,4,,33,110,колющий,"8-16,",,30,8,11,20,11,3,3,ловкость,64,ткань Т5; кожа Т5; кольчуга Т2,нет
1538,Dog (Dog_Husky),animal,Medium,4,,33,120,колющий,"10-18,",,30,8,11,20,11,3,3,ловкость,64,ткань Т5; кожа Т5; кольчуга Т2,нет
1540,Dog (Dog_Labrador),animal,Medium,4,,33,130,колющий,"10-18,",,30,8,11,20,11,3,3,ловкость,64,ткань Т5; кожа Т5; кольчуга Т2,нет
1541,Dog (Dog_Pitbull),animal,Medium,4,,33,150,колющий,"10-20,",,30,8,11,20,11,3,3,ловкость,64,ткань Т5; кожа Т5; кольчуга Т2,нет
1543,Dog (Dog_Shepherd),animal,Medium,4,,33,120,колющий,"10-20,",,30,8,11,20,11,3,3,ловкость,64,ткань Т5; кожа Т5; кольчуга Т2,нет
1045,Stag,animal,Medium,4,,49,260,колющий,"10-18,",,250,8,11,20,11,3,3,ловкость,64,ткань Т5; кожа Т5; кольчуга Т2,нет
1547,Corpse (Corpse_Summon),undead,Medium,5,,69,36,дробящий,"8-12,",,60,9,11,20,11,3,3,ловкость,64,ткань Т5; кожа Т5; кольчуга Т2,нет
1046,Wolf (WildWolf),animal,Medium,5,,64,140,колющий,"12-18,",,30,9,11,20,11,3,3,ловкость,64,ткань Т5; кожа Т5; кольчуга Т2,нет
1118,Bear Spirit,none,Medium,6,,204,260,холод,"10-22,",,150,9,11,20,11,3,3,ловкость,64,ткань Т5; кожа Т5; кольчуга Т2,нет
1032,Wolf King,animal,Medium,6,,108,190,режущий,"16-26,",,50,9,11,20,11,3,3,ловкость,64,ткань Т5; кожа Т5; кольчуга Т2,нет
1042,Boar,animal,Medium,7,,128,300,колющий,9-13,"дробящий 9-13,",200,9,11,21,11,3,3,ловкость,67,ткань Т5; кожа Т5; кольчуга Т2,нет
1037,Skeleton Kinght,undead,Medium,7,,116,180,режущий,"15-21,",,100,9,11,21,11,3,3,ловкость,67,ткань Т5; кожа Т5; кольчуга Т2,есть
1140,Cattle,animal,Medium,8,,131,240,дробящий,"10-26,",,100,9,12,21,12,3,3,ловкость,67,ткань Т5; кожа Т5; кольчуга Т2,нет
1200,SkeletonAssassin (Skeleton_T1_Assassin),undead,Medium,8,,139,260,колющий,"17-22,","колющий 17-22,",60,9,12,21,12,3,3,ловкость,67,ткань Т5; кожа Т5; кольчуга Т2,есть
1581,Wererat,animal,Medium,8,,192,320,режущий,"25-37,",,10,9,12,21,12,3,3,ловкость,67,ткань Т5; кожа Т5; кольчуга Т2,нет
1560,Wolf Spirit (WolfSpirit_Summon),none,Medium,8,,116,150,режущий,"8-17,",,30,9,12,21,12,3,3,ловкость,67,ткань Т5; кожа Т5; кольчуга Т2,нет
1036,Skeleton Kinght (Skeleton Kinght  2),undead,Medium,9,,95,150,режущий,"21-33,",,150,9,12,22,12,3,3,ловкость,70,ткань Т5; кожа Т5; кольчуга Т2,есть
1223,DemonBat (Demonbat),demon,Medium,10,,125,350,режущий,"15-26,",,60,9,12,22,12,4,4,ловкость,70,ткань Т5; кожа Т5; кольчуга Т2,есть
1548,SkeletonArcher (SkeletonArcher_Summon),undead,Medium,10,,146,80,колющий,"10-17,","колющий 3-7,",70,9,12,22,12,4,4,ловкость,70,ткань Т5; кожа Т5; кольчуга Т2,есть
1549,SkeletonWarrior (SkeletonWarrior_Summon),undead,Medium,10,,139,80,режущий,"14-23,","дробящий 7-12,",75,9,12,22,12,4,4,ловкость,70,ткань Т5; кожа Т5; кольчуга Т2,есть
1199,SkeletonArcher (Skeleton_T1_Archer),undead,Medium,11,,138,245,колющий,"11-19,","колющий 3-7,",70,9,12,22,12,4,4,ловкость,70,ткань Т5; кожа Т5; кольчуга Т2,есть
1207,Weregoat,mythological,Medium,11,,417,780,режущий,"20-28,",,55,9,12,22,12,4,4,ловкость,70,ткань Т5; кожа Т5; кольчуга Т2,есть
1556,White Wolf (WhiteWolf),animal,Medium,11,,73,180,колющий,"12-20,",,30,9,12,22,12,4,4,ловкость,70,ткань Т5; кожа Т5; кольчуга Т2,нет
1413,Corpse,undead,Medium,12,,119,200,режущий,"14-22,",,60,9,12,23,12,4,4,ловкость,74,ткань Т5; кожа Т5; кольчуга Т2,нет
1272,SkeletonFighter (Skeleton_T1_Fighter),undead,Medium,13,,162,230,режущий,"32-37,",,115,10,13,23,13,4,4,ловкость,74,ткань Т5; кожа Т5; кольчуга Т2,есть
1014,Camel,animal,Medium,15,,173,450,дробящий,"12-26,",,25,10,13,24,13,4,4,ловкость,77,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,нет
1938,LionSpirit,none,Medium,15,,153,650,режущий,"30-52,","режущий 19-28,",90,10,13,24,13,4,4,ловкость,77,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,есть
1449,SandWorm_Summon (Sandworm_Summon),insect,Medium,15,,205,240,колющий,"24-36,",,100,10,13,24,13,4,4,ловкость,77,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,нет
1550,VengefulGhost (Wraith_Summon),undead,Medium,15,,108,100,режущий,"16-28,",,70,10,13,24,13,4,4,ловкость,77,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,нет
1936,CrocodileSpirit,none,Medium,16,,189,800,режущий,"32-56,",,150,10,13,24,13,4,4,ловкость,77,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,есть
1225,Ghoul,undead,Medium,17,,227,280,режущий,"22-28,",,100,10,13,25,13,4,4,ловкость,80,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,есть
1498,Layton,mythological,Medium,17,,1161,3000,режущий,"45-60,",,400,10,13,25,13,4,4,ловкость,80,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,нет
1203,SkeletonCommander (Skeleton_T1_Commander),undead,Medium,17,,205,255,режущий,"25-31,","дробящий 7-12,",130,10,13,25,13,4,4,ловкость,80,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,есть
1819,Hermann,undead,Medium,19,,224,100,дробящий,"6-10,","дробящий 6-10,",25,10,14,26,14,4,4,ловкость,83,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,нет
1230,Undead,undead,Medium,19,,225,274,режущий,"18-27,","дробящий 14-22,",100,10,14,26,14,4,4,ловкость,83,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,есть
1047,Lion,animal,Medium,21,,153,663,режущий,"30-53,","режущий 19-28,",90,11,14,26,14,4,4,ловкость,83,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,есть
1528,FishmanArcher,lizard,Medium,22,,170,153,дробящий,"6-10,","дробящий 6-10,",25,11,14,27,14,4,4,ловкость,86,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,нет
1075,Lioness,animal,Medium,22,,159,667,режущий,"30-53,",,200,11,14,27,14,4,4,ловкость,86,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,нет
1456,Mummy,undead,Medium,22,,127,306,режущий,"24-36,",,60,11,14,27,14,4,4,ловкость,86,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,нет
1444,Night Crawler (NightCrawler),undead,Medium,22,,203,296,режущий,"24-32,",,60,11,14,27,14,4,4,ловкость,86,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,нет
1235,Weranglerfish (Weranglerfish_unarmed),lizard,Medium,22,,224,408,колющий,"27-34,","колющий 18-25,",60,11,14,27,14,4,4,ловкость,86,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,есть
1529,FishmanAssassin,lizard,Medium,24,,184,154,дробящий,"6-10,","дробящий 6-10,",25,11,15,28,15,4,4,ловкость,90,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,нет
1530,FishmanPredator,lizard,Medium,24,,162,154,дробящий,"17-25,","дробящий 17-25,",25,11,15,28,15,4,4,ловкость,90,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,есть
1271,SkeletonBerserker (Skeleton_T2_Berserker),undead,Medium,24,,153,277,режущий,"27-28,","режущий 27-28,",150,11,15,28,15,4,4,ловкость,90,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,есть
1277,SkeletonMaskman (Skeleton_T2_Maskman),undead,Medium,24,,175,308,колющий,"12-20,","колющий 3-7,",70,11,15,28,15,4,4,ловкость,90,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,есть
1956,Tiger,animal,Medium,24,,153,700,колющий,"36-52,","режущий 22-30,",90,11,15,28,15,4,4,ловкость,90,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,есть
1236,Weranglerfish (Weranglerfish_weapon),lizard,Medium,24,,261,410,колющий,"29-44,",,60,11,15,28,15,4,4,ловкость,90,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,есть
1173,Crocodile,animal,Medium,25,,189,826,режущий,"33-57,",,150,11,15,28,15,4,4,ловкость,90,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,есть
1531,FishmanWarrior,lizard,Medium,25,,193,154,дробящий,"6-10,","дробящий 6-10,",25,11,15,28,15,4,4,ловкость,90,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,нет
1426,SandWorm (Sandworm),insect,Medium,25,,228,270,колющий,"16-30,",,100,11,15,28,15,4,4,ловкость,90,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,нет
1202,SkeletonMage (Skeleton_T2_Mage),undead,Medium,25,,182,303,дробящий,"12-25,",,100,11,15,28,15,4,4,ловкость,90,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,есть
1188,Centaur (Centaur_melee),mythological,Medium,26,,711,1548,режущий,"26-41,",,100,11,15,28,15,4,4,ловкость,90,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,есть
1189,Centaur (Centaur_range),mythological,Medium,27,,720,1239,колющий,"33-46,",,150,11,15,29,15,4,4,ловкость,93,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,есть
1201,SkeletonKnight (Skeleton_T2_Knight),undead,Medium,27,,163,305,режущий,"18-30,",,115,11,15,29,15,4,4,ловкость,93,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,есть
1461,Wraith,undead,Medium,27,,265,310,режущий,16-24,"холод 8-16,",70,11,15,29,15,4,4,ловкость,93,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,есть
